,pred_dust_percent,speed_discrete,dust>50,dust>35,dust>25,dust>15,dust>5,collected_on_localtime,is_rev1,camera_location,camera_location_grouped,latitude,longitude,robot_name,operation_time,id,collected_on_localtime,speed_kph
95707,0.0,A:0-2,False,False,False,False,False,2022-10-31 14:32:59.992000-05:00,loamy,front-center-right,rev1_front,43.60986699999999,-94.010313,loamy_731,daytime,638fe8ac410ab2fa891f410b,2022-10-31 14:32:59.992000-05:00,0.00390625
203171,0.0,A:0-2,False,False,False,False,False,2022-04-26 11:39:08.623000-05:00,hitchhiker,side-left-right,rev1_side_rear,43.06172169999999,-91.4771275,hitchhiker_21,daytime,62cf1e2ce91921a27f55b903,2022-04-26 11:39:08.623000-05:00,0.00390625
163408,0.0,C:10-25,False,False,False,False,False,2022-08-29 17:15:49.019000-05:00,loamy,front-center-right,rev1_front,36.95415289999999,-121.5192948,loamy_06,daytime,6310fc91d9f74f292e1da8dc,2022-08-29 17:15:49.019000-05:00,13.30859375
213506,0.0,C:10-25,False,False,False,False,False,2021-10-27 15:31:51.566000-05:00,loamy,front-center-right,rev1_front,36.95299969999999,-121.5168695,loamy_06,daytime,617bde1666af5962349f4b5f,2021-10-27 15:31:51.566000-05:00,10.8515625
208668,30.336761474609368,A:0-2,False,False,True,True,True,2023-02-01 18:40:16.356000-06:00,loamy,front-left-right,rev1_side_front,26.72280699999999,-80.89840790000001,loamy_817,nightime,646e4f2ac930c547bdbad7c2,2023-02-01 18:40:16.356000-06:00,0.0078125
139192,1.0009765625,B:2-10,False,False,False,False,False,2022-08-06 19:56:09.103000-05:00,loamy,front-right-right,rev1_side_front,44.67075999999999,-98.8111873,loamy_756,daytime,62f7e9e317e0880827e4e35b,2022-08-06 19:56:09.103000-05:00,6.7109375
184731,0.0,A:0-2,False,False,False,False,False,2022-05-29 07:47:03.435000-05:00,hitchhiker,front-right-right,rev1_side_front,36.25289319999999,-119.5762296,hitchhiker_20,daytime,62d1b87b399e1f7ef9fcb35c,2022-05-29 07:47:03.435000-05:00,0.015625
92705,0.0,B:2-10,False,False,False,False,False,2021-10-21 13:35:08.267000-05:00,loamy,front-center-right,rev1_front,35.674814,-91.2512078,loamy_05,daytime,618197f06667ce0b88ceed77,2021-10-21 13:35:08.267000-05:00,4.625
155586,0.0,B:2-10,False,False,False,False,False,2022-07-29 19:14:13.181000-05:00,loamy,front-center-left,rev1_front,36.95308909999999,-121.5201517,loamy_06,daytime,62e4c317d274dcdf0ef160c7,2022-07-29 19:14:13.181000-05:00,9.05859375
119087,0.0,A:0-2,False,False,False,False,False,2021-10-19 19:07:06.270000-05:00,loamy,front-center-left,rev1_front,36.9537895,-121.5194042,loamy_06,daytime,616f7360d50ba35960c4db60,2021-10-19 19:07:06.270000-05:00,0.00390625
